age,education,housing,loan,contact,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,marital_divorced,marital_married,marital_single
-0.9807517817495709,9,1,0,1,5,5,-0.20922828648908795,-0.3513559841342726,0,-1.2060543163867548,-1.1854476345842437,-1.2409390022001279,-1.3317072086627957,-0.9147793298985275,no,0,1,0,0,0,0,0,0,0,0,0,0,1,0
-0.10799146437383668,11,0,0,0,5,5,0.5696341735638297,-0.3513559841342726,0,0.649441345068569,0.7151926425714463,0.8922690699662461,0.7116984054426517,0.3328624952903114,no,0,0,0,0,0,0,0,1,0,0,0,0,0,1
-1.46561862473609,11,1,0,0,6,3,-0.5986595165155467,-0.3513559841342726,0,0.8413891721156713,1.5282730881121709,-0.28317211265604075,0.7734274852589368,0.8365350928366287,no,0,0,0,0,0,0,0,1,0,0,0,0,1,0
-0.2049648329711405,9,1,0,0,6,5,0.18020294353737087,-0.3513559841342726,0,0.8413891721156713,1.5282730881121709,-0.28317211265604075,0.7716967633949288,0.8365350928366287,no,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.6677954844045938,14,1,0,1,11,1,-0.5986595165155467,-0.3513559841342726,0,-0.11834996311984088,-0.6554780023528164,-0.32670697127168163,0.3286319662088804,0.3980276831130174,no,1,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.7868050445549634,14,0,0,1,9,4,0.18020294353737087,3.3405707981337596,1,-0.7581760532768491,1.0690811592080618,0.6528273475802244,-1.5792004352159401,-2.7543382778102616,no,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0.08595527282077094,14,1,0,1,11,1,-0.20922828648908795,-0.3513559841342726,0,-0.11834996311984088,-0.6554780023528164,-0.32670697127168163,0.3286319662088804,0.3980276831130174,no,0,0,1,0,0,0,0,0,0,0,0,0,1,0
-0.8837784131522671,13,0,0,1,11,2,-0.5986595165155467,1.4946074069997437,1,-0.11834996311984088,-0.6554780023528164,-0.32670697127168163,0.3067094892647789,0.3980276831130174,no,0,0,0,0,0,0,0,1,0,0,0,1,0,0
-0.4958849387630519,9,0,0,0,5,4,-0.5986595165155467,-0.3513559841342726,0,0.649441345068569,0.7151926425714463,0.8922690699662461,0.7116984054426517,0.3328624952903114,no,0,1,0,0,0,0,0,0,0,0,0,0,1,0
-1.46561862473609,6,1,0,1,7,4,-0.5986595165155467,-0.3513559841342726,0,0.8413891721156713,0.5839949485988578,-0.4790789764264232,0.7711198561069263,0.8365350928366287,no,0,0,0,0,0,0,0,1,0,0,0,0,0,1
